id,product_tmpl_id/id,product_qty
arrocesa_recipe_113,Arroz Blanco Natural QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_114,Arroz pilado largo Envejecido,1
arrocesa_recipe_115,Arroz Santa María Envejecido Largo listo para ensacar ó empacar,1
arrocesa_recipe_116,Santa María Envejecido Funda 4 Lb ,1
arrocesa_recipe_117,Santa María Envejecido Funda 10 Lb ,1
arrocesa_recipe_118,Santa María Envejecido Arroba 11.34 KG,1
arrocesa_recipe_119,Santa María Envejecido QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_120,Santa María Envejecido Funda 4 Lb 13 u. máquina,1
arrocesa_recipe_121,Santa María Envejecido Funda 10 Lb 6 u. máquina,1
arrocesa_recipe_122,Arroz pilado largo Envejecido,1
arrocesa_recipe_123,Arroz Good Rice's Envejecido Largo listo para ensacar ó empacar,1
arrocesa_recipe_124,Good Rice's Envejecido Arroba 11.34 KG,1
arrocesa_recipe_125,Arroz Good Rice's Envejecido QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_126,Arroz pilado y precocido largo ,1
arrocesa_recipe_127,Arroz Gustadina Precocido Largo listo para ensacar ó empacar,1
arrocesa_recipe_128,Gustadina Precocido Funda 2 KG                                     ,1
arrocesa_recipe_129,Gustadina Precocido Funda 5 KG                                  ,1
arrocesa_recipe_130,Gustadina Precocidol Funda 2 KG  15 u. máquina                                                         ,1
arrocesa_recipe_131,Gustadina Precocido Funda 5 KG  6 u. máquina                                                         ,1
